"","name","isin","wkn","ysymbol","gsymbol","notes"
0,"adidas","DE000A1EWWW0","","ADS.DE","ADS:ETR",""
1,"airbus","NL0000235190","","AIR.PA","AIR:EPA",""
2,"amazon","US0231351067","","AMZN","AMZN:NASDAQ",""
3,"coca_cola","US1912161007","","KO","",""
4,"etf_vg_sp500_vuaa","IE00BFMXXD54","A2PFN2","VUAA.DE","",""
5,"ibm","US4592001014","","IBM","IBM:NYSE",""
6,"microsoft","US5949181045","","MSFT","",""
7,"nvidia","US67066G1040","","NVDA","NVDA:NASDAQ",""
8,"siemens","DE0007236101","","SIE.DE","SIE:ETR",""
9,"walmart","US9311421039","","WMT","WMT:NASDAQ",""
